Experimento,Variable,Tipo,Accuracy
Experimento-Interspeech-gemma3_4b_prompt_zeroshot,lenguaje_sexista,ERROR,0
Experimento-Interspeech-gemma3_4b_prompt_zeroshot,masc_generico,ERROR,0
Experimento-Interspeech-gemma3_4b_prompt_zeroshot,hombre_denominar_humanidad,ERROR,0
Experimento-Interspeech-gemma3_4b_prompt_zeroshot,uso_dual_zorr,ERROR,0
Experimento-Interspeech-gemma3_4b_prompt_zeroshot,uso_cargo_mujer,ERROR,0
Experimento-Interspeech-gemma3_4b_prompt_zeroshot,sexismo_social,ERROR,0
Experimento-Interspeech-gemma3_4b_prompt_zeroshot,androcentrismo,ERROR,0
Experimento-Interspeech-gemma3_4b_prompt_zeroshot,mencion_nombre_investigadora,ERROR,0
Experimento-Interspeech-gemma3_4b_prompt_zeroshot,asimetria_mujer_hombre,ERROR,0
Experimento-Interspeech-gemma3_4b_prompt_zeroshot,infatilizacion,ERROR,0
Experimento-Interspeech-gemma3_4b_prompt_zeroshot,denominacion_sexualizada,ERROR,0
Experimento-Interspeech-gemma3_4b_prompt_zeroshot,denominacion_redundante,ERROR,0
Experimento-Interspeech-gemma3_4b_prompt_zeroshot,denominacion_dependiente,ERROR,0
Experimento-Interspeech-gemma3_4b_prompt_zeroshot,criterios_excepcion,ERROR,0
Experimento-Interspeech-gemma3_4b_prompt_zeroshot,comparacion_mujer_hombre,ERROR,0
