Experimento,Variable,Tipo,N_Muestras,Accuracy,Kappa,F1_Macro,F1_Weighted,MAE,SD_Error,F1_Micro
Experimento-1_02-2026,Medio_num,Categórica,1000,0.977,0.9595,0.1738,0.9775,,,0.977
Experimento-1_02-2026,Fecha,Categórica,999,0.956,0.9557,0.9246,0.964,,,0.956
Experimento-1_02-2026,año,Categórica,999,0.976,0.0,0.0412,0.9878,,,0.976
Experimento-1_02-2026,no_MES,Categórica,999,0.975,0.9727,0.9084,0.9856,,,0.975
Experimento-1_02-2026,Caracteres,Numérica,999,,,,,675.9179,2007.1557,
Experimento-1_02-2026,Titular,Categórica,999,0.9229,0.9229,0.8577,0.9229,,,0.9229
Experimento-1_02-2026,nombre_propio_titular,Categórica,1000,0.541,0.3697,0.3931,0.4989,,,0.541
Experimento-1_02-2026,cita_en_titulo,Categórica,989,0.8756,0.6403,0.1269,0.8948,,,0.8756
Experimento-1_02-2026,cla_genero_prota,Categórica,1000,0.529,0.2889,0.4344,0.5316,,,0.529
Experimento-1_02-2026,genero_periodista,Categórica,1000,0.536,0.409,0.3283,0.6125,,,0.536
Experimento-1_02-2026,Tema_recodificado,Categórica,999,0.4234,0.3395,0.0784,0.4042,,,0.4234
Experimento-1_02-2026,ia_tema_central,Categórica,999,0.7457,0.4728,0.0609,0.7403,,,0.7457
Experimento-1_02-2026,significado_ia,Categórica,999,0.9139,0.0924,0.0464,0.9069,,,0.9139
Experimento-1_02-2026,menciona_ia,Categórica,999,0.9139,0.5445,0.1938,0.9263,,,0.9139
Experimento-1_02-2026,referencia_politicas_genero,Categórica,999,0.7127,0.0646,0.0669,0.8129,,,0.7127
Experimento-1_02-2026,denuncia_desigualdad_genero,Categórica,999,0.8699,0.264,0.1404,0.8986,,,0.8699
Experimento-1_02-2026,mujeres_racializadas_noticias,Categórica,479,0.8205,0.1225,0.1633,0.8414,,,0.8205
Experimento-1_02-2026,mujeres_con_discapacidad_noticias,Categórica,479,0.8831,0.0279,0.0706,0.9341,,,0.8831
Experimento-1_02-2026,mujeres_generacionalidad_noticias,Categórica,479,0.7871,0.1512,0.0894,0.8079,,,0.7871
Experimento-1_02-2026,tiene_fotografias,Categórica,911,0.978,0.0421,0.0825,0.9775,,,0.978
Experimento-1_02-2026,numero_fotografias,Numérica,911,,,,,0.292,0.9474,
Experimento-1_02-2026,utiliza_fuente,Categórica,911,0.8321,0.0441,0.0791,0.7677,,,0.8321
Experimento-1_02-2026,numero_declaraciones,Numérica,911,,,,,4.4209,4.6063,
