id,tema_Deportiva,tema_Economía,tema_Educación/cultura,tema_Medioambiente,tema_Política,tema_Social,tema_Tecnología,asimetria_No,asimetria_Sí,genero_fuente_Hombre,genero_fuente_Mujer,genero_fuente_NsNc,sexismo_social_No,sexismo_social_Sí,menciona_ia_No,menciona_ia_Sí,androcentrismo_No,androcentrismo_Sí,tipo_fuente_Ciudadano/a,tipo_fuente_Deportista,tipo_fuente_Economista,tipo_fuente_Experto/a,tipo_fuente_Institucional,tipo_fuente_Periodista,tipo_fuente_Político/a,nombre_propio_titular_Ninguno,nombre_propio_titular_Persona A,nombre_propio_titular_Persona B,nombre_propio_titular_Persona C,ia_tema_central_No,ia_tema_central_Sí,lenguaje_sexista_No,lenguaje_sexista_Sí,"lenguaje_sexista_Sí, además se observa un salto semántico",genero_nombre_propio_titular_No hay,"genero_nombre_propio_titular_Sí, hombre","genero_nombre_propio_titular_Sí, mujer","genero_nombre_propio_titular_Sí, mujer y hombre",genero_personas_mencionadas_No hay,"genero_personas_mencionadas_Sí, hombre","genero_personas_mencionadas_Sí, mujer","genero_personas_mencionadas_Sí, mujer y hombre",nombre_fuente_Fuente A,nombre_fuente_Fuente B,nombre_fuente_Fuente C,personas_mencionadas_ninguno,personas_mencionadas_una,personas_mencionadas_varias,declaracion_fuente_No,declaracion_fuente_Sí,significado_ia_No,masculino_generico_No,masculino_generico_Sí,cita_textual_titular_No,cita_textual_titular_Sí
N1,False,False,False,False,True,False,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,True,False,True,True,False,False,True
N2,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,True,False,True,True,False,True,False
N3,False,False,False,False,False,False,True,True,False,False,False,True,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,True,False,True,True,False,False,True
N4,False,False,False,False,True,False,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,True,True,True,False,True,False
N5,False,False,False,False,False,False,True,True,False,False,False,True,True,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,True,False,True,True,False,True,False
N6,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,True,True,True,False,False,True
N7,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,True,True,False,False,True
N8,False,False,True,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,True,False,True,True,False,True,False
N9,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,True,False,True,True,False
N10,False,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,False,False,True,True,True,False,False,True
N11,False,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,True,True,False,True,False
N12,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,False,True,False,True,False,True,True,False
N13,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,True,True,False,True,False
N14,False,False,False,False,True,False,False,True,False,False,False,True,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True
N15,False,False,False,True,False,False,False,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,True,False,True,True,False
N16,False,False,False,False,False,False,True,True,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,True,True,False,True,True,False,True,False
N17,False,False,False,False,True,False,False,True,False,False,False,True,False,True,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True,True,False,False,True
N18,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,True,True,False,True,False,True,True,False
N19,False,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,False,True,True,True,False,False,True
N20,False,False,True,False,False,False,False,True,False,True,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,True,True,False,True,False
N21,False,False,False,False,True,False,False,True,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,True,False,True,True,False,True,False
N22,True,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False,True,True,False,True,False
N23,False,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,True,True,False,True,False
